doc_id,doc_type,structure,title,doc_chars,n_chunks,avg_chunk_chars,max_chunk_chars
hana_faq_154,FAQ,qa_pair,[로그인 설정] 하나원큐 로그인 방법의 기본 설정을 변경하고 싶습니다. ,212,1,212,212
hana_faq_155,FAQ,qa_pair,입출금내역 문자서비스 어떻게 신청하면 되나요?,654,1,654,654
hana_faq_156,FAQ,qa_pair,입출금내역이 있을때 마다 휴대폰 SMS서비스를 받을수 있나요?,217,1,217,217
hana_faq_157,FAQ,qa_pair,[이용안내] '장기 미사용 이체 제한 거래 정지'가 무엇인가요?,913,3,385,427
hana_faq_158,FAQ,qa_pair,[인증서복사] 스마트폰으로 ‘인증서 가져오기’ 후에 PC에서 인증서를 재,212,1,212,212
hana_faq_159,FAQ,qa_pair,[내계좌이체] 내 계좌로 이체하는데 보안매체나 공동인증서 없이 이체가 되,176,1,176,176
hana_faq_160,FAQ,qa_pair,[심플이체] 심플이체는 등록한대로만 이체할 수 있나요?,159,1,159,159
hana_faq_161,FAQ,qa_pair,[심플이체] 심플이체란 무엇인가요?,132,1,132,132
hana_faq_162,FAQ,qa_pair,[카드] '하나원큐' 앱에서 지원하는 카드서비스는 어떤 것이 있나요?,100,1,100,100
hana_faq_163,FAQ,qa_pair,[ATM출금] 통장이 없는데 현금 출금이 가능할까요?,393,1,393,393
hana_faq_164,FAQ,qa_pair,[해지] 스마트폰뱅킹을 해지하려면 은행을 꼭 방문해야 하나요?,132,1,132,132
hana_faq_165,FAQ,qa_pair,주요환율은 하루에 몇 번 받을 수 있나요?,141,1,141,141
hana_faq_166,FAQ,qa_pair,연락처 이체 한도는 어떻게 되나요?,85,1,85,85
hana_faq_167,FAQ,qa_pair,연락처 이체시 받는 분도 하나원큐 앱이 설치되어 있어야 하나요?,84,1,84,84
hana_faq_168,FAQ,qa_pair,연락처 이체시 받으실 분은 입금정보를 입력해야 할 시간이 정해져 있나요?,108,1,108,108
hana_faq_169,FAQ,qa_pair,연락처 이체가 취소되는 때는 어떤 경우가 있나요?,157,1,157,157
hana_faq_170,FAQ,qa_pair,연락처 이체 한도는 전자금융 한도에 포함되는 건가요?,120,1,120,120
hana_faq_171,FAQ,qa_pair,해외주식투자전용펀드로 신규하려고 했는데 감면과세코드를 넣지 않고 일반과세,109,1,109,109
hana_faq_172,FAQ,qa_pair,미성년자가 인터넷으로 펀드를 가입할 수 있나요?,55,1,55,55
hana_faq_173,FAQ,qa_pair,소득공제 장기펀드를 중도환매하는데 세금이 얼마나 나오나요?,315,1,315,315
hana_faq_174,FAQ,qa_pair,(구)개인연금펀드는 연금개시신청을 해야하나요?,208,1,208,208
hana_faq_175,FAQ,qa_pair,해외주식투자전용펀드가 일부환매가 가능한가요?,169,1,169,169
hana_faq_176,FAQ,qa_pair,해외주식투자전용펀드가 다 비과세가 되나요?,260,1,260,260
hana_faq_177,FAQ,qa_pair,해외주식투자전용펀드는 가입대상이 어떻게 되나요?,169,1,169,169
hana_faq_178,FAQ,qa_pair,연금개시신청을 인터넷에서는 할 수 있나요?,125,1,125,125
hana_faq_179,FAQ,qa_pair,"감면과세상품(해외비과세, 연금저축 등) 한도변경이 인터넷에서도 가능한가요",109,1,109,109
hana_faq_180,FAQ,qa_pair,하나 행복knowhow연금저축계좌(펀드) 신규 가입 및 환매(해지) 개인,209,1,209,209
hana_faq_181,FAQ,qa_pair,소득공제 장기펀드 가입한 금액 중 일부만 환매 가능한가요?,66,1,66,66
hana_faq_182,FAQ,qa_pair,소득공제 장기펀드 소득공제 받을 수 있는 요건 및 소득공제 대상 금액이 ,259,1,259,259
hana_faq_183,FAQ,qa_pair,국가간 ATM 서비스 이용 한도와 수수료는 어떻게 되나요?,275,1,275,275
hana_faq_184,FAQ,qa_pair,ATM 타행 입금 서비스란 무엇인가요?,511,1,511,511
hana_faq_185,FAQ,qa_pair,우체국 자동화기기에서 하나은행 카드 이용 시 수수료 체계가 어떻게 되나요,246,1,246,246
hana_faq_186,FAQ,qa_pair,1년간 카드로 자동화기기에서 거래 하지 않으면 자동화기기 사용이 제한되나,321,1,321,321
hana_faq_187,FAQ,qa_pair,노인/장애인/소년 소녀 가정에 대한 영업시간외 자동화기기 현금인출 수수료,250,1,250,250
hana_faq_188,FAQ,qa_pair,국가간 ATM 서비스를 이용할 수 있는 카드로는 어떤 카드가 있나요?,273,1,273,273
hana_faq_189,FAQ,qa_pair,국가간 ATM 서비스란 무엇인가요?,310,1,310,310
hana_faq_190,FAQ,qa_pair,해외카드로 하나은행 글로벌ATM기에서 잔액조회가 가능한가요?,250,1,250,250
hana_faq_191,FAQ,qa_pair,"통합 후 예금, 대출거래는 구 하나/외환은행에서 동시에 거래 가능한가요?",123,1,123,123
hana_faq_192,FAQ,qa_pair,통합 후 예금자보호법은 어떻게 적용되나요?,63,1,63,63
hana_faq_193,FAQ,qa_pair,"종합부동산세가 지방세인가요, 국세인가요?",265,1,265,265
hana_faq_194,FAQ,qa_pair,공과금 납부는 몇시까지 가능한가요?,494,1,494,494
hana_faq_195,FAQ,qa_pair,[기타] 상품 및 서비스의 약관과 설명서는 어디서 볼 수 있나요?,430,1,430,430
hana_faq_196,FAQ,qa_pair,[기타] 급여이체 판정 기준을 알고 싶습니다.,748,3,323,348
hana_faq_197,FAQ,qa_pair,[기타] 프라임등급 유지서비스란 무엇인가요?,500,1,500,500
hana_faq_198,FAQ,qa_pair,[인기][해외이용] 해외에서 뱅킹을 쓸 예정인데 출국 전에 미리 해야할 ,631,1,631,631
hana_faq_199,FAQ,qa_pair,폰뱅킹 이용 시간을 알려주세요.,258,1,258,258
hana_faq_200,FAQ,qa_pair,폰뱅킹 신청/해지 신청 방법을 알려주세요.,1390,4,369,500
